Origin,Destination,DepartureDate,ReturnDate,Price,AveragePrice
YVR,YUL,2026-02-08,2026-02-15,209.79,225.45
YVR,YOW,2026-02-18,2026-02-23,223.65,241.23
YVR,YYJ,2026-02-01,2026-02-06,87.07,87.07
YVR,YYC,2026-02-01,2026-02-08,90.48,142.49
YVR,YYZ,2026-02-03,2026-02-09,122.37,206.57
YVR,YQB,2026-02-02,2026-02-07,347.13,543.48
YVR,SEA,2026-02-03,2026-02-10,167.0,287.9
YVR,SFO,2026-02-01,2026-02-07,195.97,328.63
YVR,LAS,2026-02-08,2026-02-13,181.7,266.97
YVR,HND,2026-01-18,2026-01-23,613.95,636.38
YVR,LHR,2026-01-18,2026-01-23,434.41,441.79
YVR,CDG,2026-01-18,2026-01-23,368.32,373.03
YVR,JFK,2026-02-08,2026-02-13,301.4,402.7
YVR,LAX,2026-02-08,2026-02-13,188.0,291.94
YVR,DXB,2026-01-21,2026-01-26,951.93,982.24
